교육지원청,"정보공시 학교코드",학교명,지역,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
서울특별시강서양천교육지원청,S010001013,서울공진초등학교,강서구,67,1937,2,9,2,초,2023
서울특별시강서양천교육지원청,S010001014,서울공항초등학교,강서구,58,1550,3,16,2,초,2023
서울특별시강서양천교육지원청,S010001015,서울남명초등학교,양천구,26,549,2,10,2,초,2023
서울특별시강서양천교육지원청,S010001016,서울내발산초등학교,강서구,51,1292,2,11,2,초,2023
서울특별시강서양천교육지원청,S010001017,서울등명초등학교,강서구,9,105,1,5,2,초,2023
서울특별시강서양천교육지원청,S010001018,서울등서초등학교,강서구,19,274,1,6,2,초,2023
서울특별시강서양천교육지원청,S010001019,서울등양초등학교,강서구,12,164,1,4,2,초,2023
서울특별시강서양천교육지원청,S010001020,서울등원초등학교,강서구,13,160,2,9,2,초,2023
서울특별시강서양천교육지원청,S010001021,서울등촌초등학교,강서구,24,462,1,3,2,초,2023
서울특별시강서양천교육지원청,S010001023,서울목동초등학교,양천구,51,1343,2,12,2,초,2023
서울특별시강서양천교육지원청,S010001025,서울발산초등학교,강서구,47,1032,2,7,2,초,2023
서울특별시강서양천교육지원청,S010001026,서울방화초등학교,강서구,26,522,1,4,2,초,2023
서울특별시강서양천교육지원청,S010001027,서울백석초등학교,강서구,27,500,1,6,2,초,2023
서울특별시강서양천교육지원청,S010001028,서울삼정초등학교,강서구,13,223,1,4,2,초,2023
서울특별시강서양천교육지원청,S010001029,서울서정초등학교,양천구,35,807,1,6,2,초,2023
서울특별시강서양천교육지원청,S010001030,서울송정초등학교,강서구,38,720,2,11,2,초,2023
서울특별시강서양천교육지원청,S010001031,서울송화초등학교,강서구,54,1224,1,8,2,초,2023
서울특별시강서양천교육지원청,S010001032,서울신강초등학교,양천구,22,400,2,7,2,초,2023
서울특별시강서양천교육지원청,S010001033,서울신곡초등학교,강서구,31,623,2,9,2,초,2023
서울특별시강서양천교육지원청,S010001034,서울신남초등학교,양천구,40,960,2,10,2,초,2023
